I prefer detailed instructions before starting a task.,1
I often come up with new ideas while daydreaming.,-1
I like solving logic puzzles and working with numbers.,1
I express myself better through art than writing.,-1
I usually stick to routines and schedules.,1
I enjoy thinking in metaphors and symbols.,-1
I prefer facts and data over emotions.,1
I rely on gut feelings to make decisions.,-1
I analyze situations step by step.,1
I’m more interested in the big picture than the small details.,-1
